Quận,Phường,Tầng,Phòng ngủ,Diện tích
11,11.114,5,4.0,60.0
9,9.51,5,4.0,52.0
7,7.1,5,4.0,42.0
12,12.1,5,4.0,52.0
4,4.18,4,3.0,33.0
12,12.16,4,2.0,30.0
15,15.67,4,4.0,65.0
12,12.29,3,3.0,64.0
15,15.39,5,5.0,46.0
14,14.24,6,3.0,42.0
8,8.64,4,4.0,36.0
11,11.95,6,2.0,20.0
9,9.78,4,2.0,11.0
15,15.36,5,8.0,33.0
11,11.69,5,4.0,42.0
8,8.2,5,6.0,65.0
12,12.12,5,5.0,52.0
8,8.4,3,5.0,200.0
15,15.27,4,4.0,43.0
11,11.84,5,6.0,50.0
12,12.44,6,4.0,33.0
15,15.99,4,4.0,62.0
7,7.90,4,4.0,36.0
8,8.49,5,4.0,20.0
9,9.68,3,2.0,48.0
9,9.16,3,4.0,50.0
8,8.34,5,4.0,55.0
7,7.14,4,4.0,60.0
9,9.48,3,2.0,16.0
14,14.16,2,4.0,68.0
9,9.52,4,4.0,41.0
8,8.42,5,6.0,90.0
15,15.23,4,4.0,36.0
11,11.97,1,1.0,50.0
15,15.46,4,6.0,42.0
10,10.1,5,4.0,56.0
8,8.11,4,4.0,45.0
9,9.39,4,4.0,50.0
15,15.83,4,4.0,65.0
8,8.41,4,4.0,100.0
8,8.9,5,4.0,40.0
7,7.69,5,3.0,30.0
6,6.15,5,6.0,70.0
5,5.13,2,2.0,45.0
8,8.33,5,5.0,35.0
15,15.5,5,4.0,36.0
10,10.5,4,6.0,58.0
11,11.21,4,4.0,50.0
11,11.24,5,4.0,36.0
11,11.101,5,4.0,35.0
15,15.35,5,3.0,35.0
8,8.35,4,3.0,38.0
9,9.1,6,5.0,32.0
14,14.44,5,5.0,99.0
8,8.82,5,6.0,40.0
15,15.94,3,3.0,58.0
7,7.61,4,3.0,25.0
12,12.18,5,4.0,40.0
6,6.50,4,5.0,53.0
9,9.9,4,4.0,35.0
11,11.33,5,4.0,30.0
13,13.37,6,5.0,45.0
6,6.32,6,5.0,40.0
14,14.21,5,4.0,55.0
11,11.44,4,4.0,52.0
7,7.43,5,4.0,35.0
15,15.60,5,6.0,65.0
8,8.25,5,3.0,40.0
6,6.55,4,4.0,40.0
7,7.106,4,3.0,25.0
7,7.102,5,3.0,80.0
15,15.69,4,3.0,48.0
4,4.19,5,3.0,23.0
5,5.12,2,2.0,45.0
11,11.88,5,3.0,31.0
4,4.17,5,4.0,20.0
6,6.23,6,4.0,35.0
12,12.30,5,2.0,55.0
15,15.3,4,3.0,46.0
6,6.24,5,4.0,50.0
12,12.25,4,4.0,55.0
15,15.58,5,3.0,36.0
11,11.39,5,3.0,30.0
11,11.30,5,6.0,50.0
4,4.53,3,3.0,32.0
12,12.43,5,3.0,38.0
14,14.1,5,3.0,30.0
12,12.4,3,4.0,196.0
9,9.60,4,3.0,41.0
8,8.68,4,5.0,32.0
4,4.7,5,6.0,47.0
11,11.73,5,3.0,40.0
15,15.89,4,3.0,35.0
12,12.38,5,4.0,35.0
6,6.58,5,3.0,31.0
15,15.21,5,3.0,29.0
9,9.21,5,4.0,35.0
9,9.34,5,5.0,70.0
9,9.45,5,4.0,35.0
9,9.77,6,4.0,36.0
15,15.16,3,3.0,50.0
11,11.23,5,3.0,32.0
15,15.73,5,4.0,45.0
15,15.85,3,3.0,54.0
13,13.15,4,4.0,39.0
9,9.50,2,3.0,60.0
13,13.6,5,5.0,51.0
4,4.31,4,3.0,40.0
7,7.114,2,3.0,68.0
11,11.74,5,3.0,35.0
7,7.44,4,3.0,45.0
8,8.50,3,2.0,23.0
12,12.50,4,3.0,30.0
11,11.25,3,2.0,27.0
7,7.52,4,5.0,50.0
15,15.15,5,4.0,43.0
8,8.60,4,4.0,35.0
6,6.20,5,4.0,40.0
11,11.53,4,4.0,30.0
4,4.2,4,2.0,35.0
4,4.10,5,3.0,33.0
13,13.33,2,2.0,110.0
5,5.14,5,3.0,30.0
9,9.29,5,4.0,40.0
11,11.112,5,5.0,45.0
13,13.2,4,3.0,32.0
7,7.56,5,4.0,32.0
9,9.31,3,3.0,51.0
9,9.22,3,4.0,50.0
11,11.59,4,5.0,42.0
11,11.3,5,9.0,77.0
7,7.82,5,3.0,35.0
15,15.20,5,4.0,35.0
5,5.2,4,5.0,42.0
7,7.25,4,3.0,26.0
6,6.19,4,4.0,42.0
12,12.22,5,3.0,40.0
15,15.77,5,4.0,39.0
2,2.3,3,3.0,33.0
11,11.85,4,5.0,35.0
11,11.42,4,4.0,42.0
12,12.40,5,3.0,32.0
15,15.18,5,4.0,68.0
13,13.9,1,1.0,45.0
14,14.23,5,5.0,50.0
12,12.37,4,4.0,80.0
9,9.25,5,4.0,51.0
9,9.35,4,4.0,41.0
7,7.37,4,4.0,36.0
15,15.8,5,5.0,38.0
15,15.57,7,6.0,75.0
4,4.11,4,3.0,32.0
11,11.61,5,4.0,28.0
7,7.63,5,3.0,30.0
11,11.11,5,3.0,55.0
4,4.33,5,3.0,32.0
9,9.18,4,2.0,25.0
12,12.20,5,4.0,38.0
4,4.1,5,3.0,25.0
6,6.9,5,3.0,35.0
7,7.45,5,4.0,34.0
8,8.37,5,4.0,37.0
6,6.43,5,4.0,41.0
11,11.72,5,4.0,40.0
9,9.59,4,3.0,20.0
11,11.71,5,3.0,40.0
7,7.111,5,6.0,100.0
5,5.8,3,4.0,40.0
14,14.2,4,3.0,30.0
13,13.28,5,4.0,40.0
5,5.21,5,3.0,36.0
9,9.49,5,3.0,42.0
7,7.15,5,4.0,44.0
14,14.3,5,3.0,45.0
4,4.16,3,4.0,50.0
7,7.88,4,4.0,35.0
15,15.68,5,3.0,43.0
6,6.46,4,3.0,41.0
7,7.104,3,2.0,36.0
4,4.35,7,5.0,65.0
15,15.87,4,3.0,25.0
12,12.36,5,3.0,34.0
6,6.1,4,3.0,43.0
15,15.100,5,4.0,64.0
7,7.6,5,4.0,41.0
9,9.71,2,2.0,19.0
8,8.26,3,3.0,30.0
7,7.86,4,4.0,40.0
8,8.29,5,6.0,40.0
3,3.2,4,4.0,43.0
11,11.78,4,3.0,35.0
11,11.9,5,4.0,44.0
13,13.40,8,8.0,55.0
7,7.109,5,7.0,40.0
15,15.53,5,5.0,49.0
11,11.47,5,4.0,35.0
11,11.83,4,4.0,45.0
14,14.10,5,7.0,45.0
6,6.4,5,4.0,34.0
13,13.30,3,3.0,50.0
4,4.23,4,4.0,35.0
14,14.17,2,4.0,68.0
11,11.34,6,6.0,35.0
7,7.5,3,3.0,28.0
12,12.53,5,4.0,43.0
4,4.20,5,3.0,19.0
6,6.35,5,4.0,34.0
15,15.95,5,3.0,38.0
14,14.38,4,5.0,60.0
3,3.10,4,3.0,33.0
11,11.29,5,4.0,32.0
15,15.81,5,4.0,38.0
7,7.98,4,4.0,45.0
6,6.38,3,3.0,56.0
6,6.59,4,4.0,62.0
7,7.94,5,4.0,50.0
14,14.42,5,6.0,50.0
5,5.7,3,3.0,40.0
4,4.42,4,4.0,40.0
15,15.17,10,8.0,65.0
9,9.55,5,3.0,32.0
15,15.65,5,5.0,54.0
12,12.45,3,4.0,68.0
8,8.20,5,3.0,33.0
11,11.32,6,3.0,35.0
6,6.61,5,5.0,70.0
9,9.8,5,4.0,33.0
15,15.49,4,3.0,30.0
7,7.57,2,2.0,40.0
11,11.22,4,2.0,28.0
7,7.9,3,2.0,58.0
13,13.12,4,4.0,40.0
6,6.30,5,6.0,52.0
13,13.35,7,4.0,35.0
7,7.27,5,4.0,50.0
8,8.85,2,4.0,50.0
14,14.29,5,4.0,36.0
13,13.1,5,3.0,32.0
9,9.66,5,5.0,34.0
11,11.7,4,3.0,28.0
12,12.31,5,4.0,48.0
7,7.34,5,3.0,35.0
7,7.39,4,4.0,22.0
9,9.61,4,4.0,38.0
8,8.81,4,4.0,42.0
5,5.18,5,6.0,51.0
9,9.19,5,6.0,70.0
4,4.15,5,5.0,50.0
15,15.48,4,3.0,35.0
9,9.11,2,3.0,40.0
11,11.94,2,3.0,92.0
4,4.48,5,4.0,61.0
13,13.29,5,3.0,40.0
13,13.27,4,4.0,90.0
6,6.11,5,4.0,42.0
11,11.26,5,5.0,54.0
7,7.80,3,3.0,30.0
12,12.52,5,3.0,32.0
7,7.83,4,3.0,38.0
9,9.26,4,2.0,30.0
7,7.60,4,3.0,34.0
15,15.37,4,2.0,37.0
15,15.24,4,6.0,50.0
7,7.19,5,4.0,35.0
7,7.96,5,3.0,25.0
13,13.11,5,4.0,35.0
14,14.39,5,4.0,40.0
8,8.30,4,3.0,35.0
12,12.19,5,3.0,30.0
4,4.14,4,2.0,17.0
1,1.2,4,3.0,48.0
15,15.9,3,2.0,64.0
13,13.14,4,4.0,46.0
6,6.16,5,4.0,61.0
4,4.24,5,3.0,35.0
15,15.33,4,5.0,44.0
8,8.63,4,4.0,36.0
12,12.46,7,8.0,83.0
9,9.10,3,4.0,63.0
15,15.47,5,6.0,50.0
5,5.19,5,3.0,30.0
6,6.49,5,5.0,38.0
9,9.72,4,3.0,52.0
2,2.2,4,3.0,34.0
7,7.103,5,4.0,25.0
3,3.9,4,4.0,35.0
7,7.105,5,3.0,40.0
15,15.72,4,4.0,45.0
6,6.27,4,4.0,32.0
12,12.54,5,4.0,33.0
11,11.77,5,6.0,45.0
6,6.21,4,4.0,98.0
7,7.93,3,3.0,18.0
14,14.22,4,4.0,40.0
8,8.74,2,3.0,26400.0
8,8.21,4,3.0,36.0
6,6.18,4,4.0,42.0
11,11.107,3,3.0,35.0
12,12.39,3,3.0,58.0
15,15.43,5,3.0,32.0
7,7.31,4,3.0,33.0
4,4.40,4,4.0,45.0
11,11.52,5,4.0,30.0
13,13.24,2,2.0,40.0
8,8.89,6,8.0,65.0
8,8.52,4,6.0,112.0
11,11.38,5,4.0,35.0
7,7.91,3,3.0,36.0
11,11.46,5,4.0,35.0
8,8.55,5,4.0,35.0
7,7.55,6,3.0,34.0
15,15.28,5,3.0,48.0
9,9.76,5,4.0,52.0
11,11.100,4,4.0,44.0
6,6.36,5,3.0,40.0
11,11.58,4,4.0,80.0
7,7.67,6,5.0,60.0
8,8.83,5,5.0,35.0
15,15.101,5,5.0,96.0
12,12.51,4,3.0,65.0
15,15.90,5,3.0,30.0
14,14.30,4,4.0,67.0
15,15.82,5,5.0,36.0
15,15.79,4,4.0,60.0
9,9.54,3,2.0,15.0
8,8.80,4,4.0,40.0
7,7.13,5,4.0,31.0
13,13.18,5,5.0,40.0
8,8.27,4,2.0,72.0
11,11.80,5,4.0,40.0
12,12.3,5,5.0,40.0
8,8.77,3,3.0,44.0
12,12.10,5,4.0,60.0
9,9.67,4,2.0,31.0
7,7.110,3,3.0,30.0
6,6.54,4,4.0,46.0
4,4.51,5,3.0,41.0
7,7.16,6,6.0,60.0
11,11.87,5,4.0,35.0
15,15.32,4,4.0,43.0
5,5.17,2,4.0,101.0
3,3.7,4,3.0,35.0
15,15.61,4,4.0,110.0
4,4.46,5,4.0,28.0
2,2.1,3,2.0,34.0
9,9.30,3,3.0,67.0
3,3.6,4,3.0,30.0
15,15.80,5,4.0,33.0
4,4.13,4,4.0,46.0
5,5.1,2,2.0,57.0
7,7.92,6,7.0,46.0
12,12.47,5,4.0,60.0
9,9.62,5,3.0,35.0
15,15.59,3,2.0,102.0
8,8.18,5,4.0,50.0
7,7.79,4,2.0,30.0
10,10.4,3,3.0,20.0
7,7.66,5,3.0,32.0
7,7.7,5,3.0,11.0
11,11.5,5,3.0,32.0
7,7.26,4,4.0,40.0
15,15.11,5,4.0,40.0
11,11.4,4,3.0,27.0
15,15.86,5,1.0,48.0
7,7.30,5,4.0,35.0
9,9.41,4,2.0,16.0
8,8.57,5,4.0,34.0
10,10.3,4,4.0,43.0
11,11.67,2,2.0,30.0
13,13.34,4,4.0,40.0
15,15.45,4,3.0,38.0
7,7.81,4,3.0,30.0
9,9.44,5,4.0,40.0
8,8.23,5,4.0,43.0
9,9.4,5,4.0,45.0
15,15.51,5,3.0,43.0
13,13.32,5,4.0,40.0
12,12.7,2,2.0,54.0
6,6.60,6,6.0,90.0
9,9.47,4,3.0,45.0
11,11.13,5,3.0,25.0
3,3.1,3,2.0,42.0
11,11.27,4,3.0,47.0
13,13.4,5,4.0,113.0
15,15.55,4,3.0,100.0
7,7.53,4,4.0,45.0
12,12.11,1,1.0,40.0
15,15.26,4,4.0,32.0
8,8.7,5,3.0,35.0
15,15.38,5,4.0,36.0
11,11.50,4,4.0,32.0
4,4.45,4,4.0,46.0
13,13.19,5,4.0,54.0
6,6.34,5,6.0,50.0
9,9.40,4,4.0,67.0
7,7.116,5,6.0,50.0
8,8.39,5,3.0,33.0
11,11.31,5,4.0,35.0
13,13.13,4,3.0,30.0
11,11.86,5,3.0,44.0
13,13.23,4,3.0,30.0
7,7.99,4,3.0,20.0
7,7.62,5,4.0,40.0
15,15.7,4,6.0,45.0
14,14.27,3,3.0,78.0
11,11.65,5,3.0,49.0
8,8.1,4,3.0,41.0
9,9.75,4,6.0,96.0
4,4.36,5,3.0,34.0
9,9.5,5,4.0,40.0
14,14.6,5,3.0,44.0
13,13.3,5,4.0,54.0
7,7.68,4,4.0,34.0
14,14.20,3,3.0,86.0
4,4.27,5,3.0,25.0
7,7.51,4,3.0,36.0
8,8.16,5,4.0,50.0
7,7.47,5,3.0,30.0
15,15.63,3,4.0,122.0
11,11.57,4,4.0,56.0
7,7.33,5,4.0,28.0
6,6.3,5,5.0,45.0
13,13.21,4,8.0,138.0
15,15.71,4,2.0,29.0
15,15.44,3,3.0,40.0
11,11.43,5,6.0,37.0
10,10.2,3,2.0,20.0
7,7.115,5,6.0,100.0
13,13.31,1,2.0,55.0
15,15.54,3,4.0,57.0
13,13.41,4,4.0,195.0
12,12.33,6,4.0,46.0
3,3.5,4,4.0,39.0
4,4.37,7,5.0,65.0
7,7.77,4,4.0,66.0
11,11.106,4,4.0,61.0
14,14.4,3,5.0,50.0
11,11.108,5,3.0,31.0
4,4.30,7,1.0,60.0
8,8.86,4,4.0,45.0
14,14.26,6,4.0,40.0
4,4.6,3,2.0,30.0
15,15.52,6,3.0,30.0
15,15.62,4,4.0,60.0
4,4.49,4,5.0,88.0
12,12.14,4,6.0,55.0
7,7.2,5,5.0,120.0
8,8.45,3,3.0,33.0
2,2.4,5,4.0,45.0
12,12.9,3,4.0,100.0
8,8.40,4,3.0,30.0
14,14.5,5,6.0,51.0
9,9.28,5,4.0,67.0
13,13.25,5,4.0,35.0
6,6.37,5,4.0,55.0
11,11.56,4,2.0,43.0
14,14.41,5,6.0,37.0
8,8.43,5,4.0,35.0
11,11.102,3,2.0,32.0
6,6.10,5,6.0,45.0
14,14.34,6,4.0,40.0
11,11.20,5,4.0,31.0
9,9.27,5,5.0,45.0
6,6.7,5,4.0,40.0
6,6.33,4,6.0,32.0
5,5.15,5,3.0,30.0
8,8.31,4,3.0,35.0
8,8.72,5,4.0,40.0
7,7.18,5,6.0,54.0
14,14.28,5,4.0,36.0
15,15.1,4,4.0,38.0
5,5.20,6,5.0,108.0
11,11.16,2,2.0,30.0
4,4.8,5,3.0,39.0
11,11.41,2,2.0,32.3
7,7.58,2,2.0,30.0
9,9.7,3,4.0,68.0
